cleaned,coords,loc_name,people_needs,category
northern iloilo towns need help recover onslaught typhoon agathon proceeds alab batch used procure potable drinking water canned goods friends need lets help warm donating amount spare agatonph,122.650482/10.84919,iloilo,help,Medical Response
alexanators call donation opening donation drive people affected agatonph leyte amount greatly appreciated alexanators ofc drive worthy purpose ph alexailacad alexailacad leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
use hashtags agatonph baybayneedshelp leyteneedshelp leytecallforhelp ppl leyte needs help,124.552177/11.33877,leyte leyte,help,Medical Response
ph insomnias non insomnias please help fellow filipinos victim agatonph leyte amount help leyteneedshelp leytecallforhelp,124.552177/11.33877,leyte leyte,help,Medical Response
𝗖𝗔𝗟𝗟 𝗙𝗢𝗥 𝗗𝗢𝗡𝗔𝗧𝗜𝗢𝗡𝗦 san rafael leni kiko opening donation channels agatonph victims san rafael iloilo please spread thank sanrafaelneedshelp northerniloiloneedshelp agatonph,122.650482/10.84919,iloilo,help,Medical Response
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
hello feel free message leyte donation drives ill add sa thread hehe leytecallforhelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
second batch relief turnedover last night baybay city leyte agatonph catbalogancity derechouswagcatbalogan kamatinambuligonkatbalogan prayforleyte helpleyte baybayneedshelp leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
agaton advisory 06 15 april 2022 8 pldt livesmart together psfvolunteer distributed around 500 relief packs victims agatonph barangay bunga abuyog leyte read stayhome safeandsmart,125.149437/10.62223,abuyog leyte,relief packs,Food & Clothes
agaton advisory 06 15 april 2022 8 pldt livesmart together psfvolunteer distributed around 500 relief packs victims agatonph barangay bunga abuyog leyte read stayhome safeandsmart,125.149437/10.62223,abuyog leyte,relief packs,Food & Clothes
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
may still send inkind monetary donations following channels inkind donation dropoff location brgy nalibunan abuyog leyte eli topia 09173156995 cash donations gcash vic dam boonyarat 09999195006 agatonph leyteneedshelp,125.149437/10.62223,abuyog leyte,help,Medical Response
yey thank much iau laban lang baybay leyte baybaycityneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
tw typhoon flooding yall lyns mothers hometown aunties cousinsstill recovering previous typhoon odetteph dec 2021this agatonph landslide wiped baybay leyte week 5 goes loooong way php pp help,124.552177/11.33877,leyte leyte,help,Medical Response
looking generous donors provide underwearbra panty brief evacuees brgy pilar dm please agatonph abuyogneedshelp pilarlandslide,126.124962/9.84158,pilar ,help,Medical Response
leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph pls share leyte needs help,124.552177/11.33877,leyte leyte,help,Medical Response
last week leyte hit typhoon agatonph led loss lives shelter many leytehanos conducting food drive leyte saw tweet kindly help us helping stand thank also lets pray,124.552177/11.33877,leyte leyte,food,Food & Clothes
official statement city mayor dexter uy second batch relief sent baybay city leyte yesterday agatonph catbalogancity derechouswagcatbalogan kamatinambuligonkatbalogan prayforleyte helpleyte baybayneedshelp leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
iloilo needs help amount please help po natin ang iloilo affected much typhoons agatonph balwarte po ito ni vp leni thanks blessed good friday gcash roger belluga 09450878603 bpi account roger belluga jr 5226 3466 02,122.650482/10.84919,iloilo,help,Medical Response
thankfully city part iloilo really affected agatonph provinces iloiloneedshelp especially provinces,122.650482/10.84919,iloilo,help,Medical Response
almost everyone knows baybay city leyte really suffered lot damage landslide typhoon agaton knocking generous hearts help kababayans baybay city leyte devastated typhoon agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
april 14 2022 800 pm 𝗗𝗼𝗻𝗮𝘁𝗶𝗼𝗻 𝗡𝗮𝘁𝗶𝗼𝗻 gathered 𝗽𝗵𝗽𝟳𝟮𝟮𝟲𝟵𝟱 still accepting donations help friends iloilo capiz greatly affected agatonph let us help rise challenge,122.650482/10.84919,iloilo,help,Medical Response
love fandom fandom purpose lets united help fellow filipino leyte royals kaomiah jeremiahlisbo kaorioinuma leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
capiz needs help calling donations capizneedshelp capizneedsrescue agatonph,122.579987/11.24989,capiz,help,Medical Response
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
hi aces posting bgyo_akira shared ig help residents capiz affected typhoon agatonph amountin kind donations huge help lets include prayers capizneedshelp bgyo bgyo_ph,122.579987/11.24989,capiz,help,Medical Response
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
120 died tropical depressionstorm one already many leyte needs help agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
forge better communities share one little step time observance lenten season may remember help fellow filipinos situated leyte nearby provinces severely affected typhoon agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
help rt friend crrntly abuyog leyte amp decided initiate donation drive families affected recent typhoon agaton w asking ur generosity help fellow kababayan see pictures u agatonph,125.149437/10.62223,abuyog leyte,help,Medical Response
jiims shangives hello pls help us spread leyte needs help doesnt get much attention people literally dying wala masyadong media coverage request support help victims greatly devastated agatonph leyteneedshelp baybayneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
need team initiating donation drive kababayans region 8 especially leyte greatly affected continuing onslaught agatonph humbly asking support providing aids people ground leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
someone leyte seeing everything news social media makes much unbearable praying everyone right leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
hi insomnias lets help victims agatonph leyte amount highly appreciated leytecallforhelp,124.552177/11.33877,leyte leyte,help,Medical Response
please hep abuyog agatonph leyteneedshelp abuyogneedshelp baybayneedshelp,125.149437/10.62223,abuyog ,help,Medical Response
hi sweetheart kdlex panay chapter organizing donation drive help people affected typoon agatonph helping hands make stand kdestrada alexailacad kdlex,122.890266/11.477714,panay ,help,Medical Response
reported missing citizens leyte landslide far know numbers exceeded 20 please help agatonph leyteneedshelp prayforleyte baybayneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph let add leyte needs help,124.552177/11.33877,leyte leyte,help,Medical Response
anyone help agatonph agaton typhoon typhoonagatonph megi aerial shots brgy pilar abuyog leyte 42 individuals buried alive due landslide last monday mb photo joseph pasalo manilabulletin,126.124962/9.84158,pilar leyte,help,Medical Response
leyte needs help leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
first day repacking goods relief ops would like thank leganes parish youth ministry helping us willing donate 86packs rice still needed goods see pinned tweet details sb19 sb19official agatonph,122.644096/10.77604,leganes ,help,Medical Response
magandang gabi po kindly help po liking retweetinig reach potential donors po kababayan leyte thank much po stay safe po sa inyong lahat leyteneedshelp prayforleyte donations agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
pls help us trend tags fellowmen leyte thank youuuu leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
also leyte leyte needs help stop gossip issues real issue guys check hashtags numbers donate leyteneedshelp agatonph baybayneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
calls donation victims agatonph abuyog leyte leyteneedshelp abuyogneedshelp,125.149437/10.62223,abuyog leyte,help,Medical Response
inkamagnaye hello pls help us spread leyte needs help doesnt get much attention people literally dying wala masyadong media coverage request support help victims greatly devastated agatonph leyteneedshelp baybayneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
politicians exploiting situation leyte right stop agatonph baybayneedshelp leyteneedshelp abuyogneedshelp leytecallforhelp,124.552177/11.33877,leyte leyte,help,Medical Response
happened baybay city abuyog leyte heartbreaking kind donation cash kind agatonph abuyogneedshelp baybayneedshelp leyteneedshelp reliefph,125.149437/10.62223,abuyog leyte,help,Medical Response
pray leyte need help baybaycityneedshelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
presidential candidate senator iampinglacson slammed critics accused contradicting stand calamity politics team extended help typhoon agatonph victims iloilo,122.650482/10.84919,iloilo,help,Medical Response
let us forget leyte also need help rt repost spread leytecallforhelp prayforleyte leyteneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
emotional saw picture kids baybay leyte happily choosing clothes donated made realize clothes donated give warmth broken hearts send ur supports agatonph leyteneedhelp,124.552177/11.33877,leyte leyte,clothes,Food & Clothes
thank kpop stans 4 leni iloilo volunteers organized donation drive donors gave generous donations help victims typhoon agaton agatonph kpopstans4leni intothenewph,122.650482/10.84919,iloilo,help,Medical Response
would like express appreciation buhat eastern visayas took time come abuyog leyte extend help victims typhoon agaton efforts shown people organization given us hope recover agatonph abuyogneedshelp,125.149437/10.62223,abuyog leyte,help,Medical Response
let us forget leyte also need help rt repost spread leytecallforhelp prayforleyte leyteneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
henlo moots nonart related knocking ur kind hearts extend help give aid victims typhoons especially northern iloilo im contact person inkind donations u also donate thru gcash remittances iloiloneedshelp agatonph,122.650482/10.84919,iloilo,help,Medical Response
let us forget leyte also need help rt repost spread leytecallforhelp prayforleyte leyteneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
let us forget leyte also needs help leytecallforhelp prayforleyte leyteneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
let us forget leyte also needs help leytecallforhelp prayforleyte leyteneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
let us forget leyte also needs help leytecallforhelp prayforleyte leyteneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
sorry hear devastating impact tropical storm agatonph philippines many dead amp missing heartfelt sympathies affected crucial quick amp efficient help arrive affected regions leyte amp southern leyte,124.552177/11.33877,leyte leyte,help,Medical Response
kdlex panay chapter hosting donation drive people affected agatonph iloilo open donations iloiloneedshelp kdlex,122.890266/11.477714,panay iloilo,help,Medical Response
please pay attention whats going leyte paying attention issues use platforms spread awareness agatonph baybayneedshelp abuyogneedshelp leyteneedshelp prayforleyte,124.552177/11.33877,leyte leyte,help,Medical Response
atm iloilo atin preparation iloilo capiz relief goods operation want pledge donations iloilo atin donation drive please see pinned tweet details slmt sb19 sb19official agatonph,122.650482/10.84919,iloilo,relief goods,Food & Clothes
capiz needs help momentary amount help lot families province call donations emergency relieffund drive victims heavy rainfall caused tropical storm agatonph province capiz affected tropical storm,122.579987/11.24989,capiz,help,Medical Response
done disturbing help survivors agaton abuyog leyte palale national high school leyteneedshelp abuyogneedshelp baybayneedshelp agatonph leytehelpingleyte,125.149437/10.62223,abuyog leyte,help,Medical Response
leyte needs help hello fellow moots kpop stans kindly rt tweet spread word leyte region live needs help experiencing heavy rains led landslides amp floods agatonph leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
