cleaned,coords,loc_name
mbwphotoessayprrd visits leyte ormoc city onslaught agatonph,124.552177/11.33877,leyte leyte
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte
japan canada united states australia also expressed support affected families leyte international organization migration countries donated cooking sets medicine water agatonph survivors tristannodalo,124.552177/11.33877,leyte leyte
japan canada united states australia also expressed support affected families leyte international organization migration countries donated cooking sets medicine water agatonph survivors cnnphilippines,124.552177/11.33877,leyte leyte
thread countries offer aid share sympathies devastation due agatonph swiss embassy manila says stands ready support philippines assist affected tristannodalo,120.989517/14.635671,manila 
thread countries offer aid share sympathies devastation due agatonph swiss embassy manila says stands ready support philippines assist affected cnnphilippines,120.989517/14.635671,manila 
landslide buried yet another village philippines disaster pilar municipality abuyog leyte left 177 missing 46 casualties due tropical storm megi agatonph,126.124962/9.84158,pilar leyte
look president rodrigo duterte assured victims agatonph leyte government always providing aid food decent shelter workingpcoo weriseasone laginghandaph,124.552177/11.33877,leyte leyte
least 514 landslides happened kantagnos pilar bunga leyte agatonph based remote sensing data small landslide big lets lose focus disaster happened central philippines region sentinel,126.124962/9.84158,pilar leyte
afp intensified humanitarian assistance disaster response operations leyte following devastation caused agatonph,124.552177/11.33877,leyte leyte
age 14 experienced worst floods town province hurts much see people affected flood one sacrificing much please pray capiz dumaraoneedshelp capizneedshelp agatonph,122.579987/11.24989,capiz
devastating understatement describe typhoon agaton left baybay leyte watch agatonph obphildr,124.552177/11.33877,leyte leyte
pres duterte personally checked situation typhoon agatonph victims leyte,124.552177/11.33877,leyte leyte
philippinestar president made statement visit families affected agatonph capiz last saturday months left term,122.579987/11.24989,capiz
recent typhoon agatonph continuously causing threat lives people region 8 specially province leyte need media coverage needed order provide adequate relief rescue operations please dont stop sharing,124.552177/11.33877,leyte leyte
hi everyone effort help raise funds buy rice necessities affected agatonph leyte posting stuff sale week hope lend hand either rting selling tweets buying stuff thank,124.552177/11.33877,leyte leyte
look following devastations left agatonph phil red cross chairman amp ceo sen dickgordondg local leyte chapter execute hygiene promotion activity amp water distribution area leyteneedshelp alwaysfirstalwaysreadyalwaysthere redcross leyte,124.552177/11.33877,leyte leyte
mulieri cares gabay donation drive people animals affected agatonph recently sudden massive flooding brought typhoon agaton capiz left devastating damage residents capiz well animals area,122.579987/11.24989,capiz
capiz governor esteban nonoy contreras requested sangguniang panlalawigan sp place entire province state calamity floods brought typhoon agaton pummeled 16 towns roxas city visayasnews agatonph,119.241386/10.09141,roxas capiz
tropical depression agaton damaged p323 million worth infrastructure 4th district iloilo province visayasnews agatonph,122.650482/10.84919,iloilo
mayor abuyog town leyte province planning declare barangay pilar mans land 80 percent village covered rocks soil landslide occurred amid heavy rainfall spawned tropical storm agatonph,125.149437/10.62223,abuyog leyte
leyte still needs help hundreds either dead missing lost homes need hold conference 5 start hotel announce something shared tweet leyteneedshelp agatonph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
successful day today atin abuyog able distribute total 45 packs food hygiene kits together used clothes highly affected families agatonph abuyog leyte,125.149437/10.62223,abuyog leyte
icymi pres duterte visits agatonph hit town leyte,124.552177/11.33877,leyte leyte
hi mini shop cause event tomorrow 8am ig store victims typhoon agatonph clothes monetary donations sent ssc volunteers southern leyte state university see tomorrow,124.552177/11.33877,leyte leyte
bns related posting akmaresbak donation drive help fellow kababayans leyte please help spread rt thank much god bless typhoonagaton baybayneedshelp abuyogneedshelp agatonph,124.552177/11.33877,leyte leyte
lacson didnt answer presscon held fivestar hotel leyte residents homes destroyed agatonph posed social media according press lacson dont think deserves answer bilangpilipino2022 via news5camillesmnte,124.552177/11.33877,leyte leyte
visit western leyte provincial hospital baybay city 15 april president rodrigo duterte sen bong go checked steven lumanta turned 12 read baybaycity agatonph dailytribune kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
visit western leyte provincial hospital baybay city 15 april president rodrigo duterte sen bong go checked steven lumanta turned 12 read baybaycity agatonph dailytribune kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
wish send donations may still via following channels inkind donation dropoff location brgy nalibunan abuyog leyte eli topia 09173156995 cash donations gcash vic dam boonyarat 09999195006 agatonph leyteneedshelp kailangan namin ngayon ang gamot tubig damit,125.149437/10.62223,abuyog leyte
using sentinel2 images able count least 514 landslides section alone triggered td agatonph could see large landslide brgy pilar abuyog well flooding still affecting many people please leyteneedshelp,126.124962/9.84158,pilar 
president prrd real vicepresident bong go consistently working hard country thank visiting province mahal namin kayo dutertelegacy dutertefinalyear maramingsalamatprrd agatonph senbonggo,121.576851/14.69707,real 
president rodrigo roa duterte distributes relief goods assistance families affected tropical storm agaton pontevedra capiz april 16 2022 photos alfred friaspresidential photo agatonph dutertelegacy laginghandaph,123.013786/10.37741,pontevedra capiz
president rodrigo roa duterte distributes relief goods assistance families affected tropical storm agaton pontevedra capiz april 16 2022 photos alfred friaspresidential photo agatonph dutertelegacy laginghandaph,123.013786/10.37741,pontevedra capiz
president rodrigo roa duterte conducts aerial inspection areas affected tropical storm agaton province capiz april 16 2022 photos rey baniquetpresidential photo agatonph dutertelegacy laginghandaph,122.579987/11.24989,capiz
president rodrigo roa duterte conducts aerial inspection areas affected tropical storm agaton province capiz april 16 2022 photos rey baniquetpresidential photo agatonph dutertelegacy laginghandaph,122.579987/11.24989,capiz
president rodrigo duterte saturday led distribution assistance families affected tropical depression agatonph following aerial inspection damaged areas capiz kailangan namin ngayon ang gamot tubig damit,122.579987/11.24989,capiz
families moved safer grounds cebu city height tropical depressions agaton basyang returned respective homes according mayor michael rama visayasnews agatonph kailangan namin ngayon ang gamot tubig damit,124.444077/10.62794,cebu
running list organizations leading donation drives relief initiatives tropical depression agaton causes floods abuyog baybay mahaplad merida leyte reliefph agatonph kailangan namin ngayon ang gamot tubig damit,125.149437/10.62223,abuyog leyte
running list organizations leading donation drives relief initiatives tropical depression agaton causes floods abuyog baybay mahaplad merida leyte reliefph agatonph kailangan namin ngayon ang gamot tubig damit,125.149437/10.62223,abuyog leyte
total 100 packs groceries 100 packs rice 150 food packs distributed april 18 victims typhoon agaton pilar abuyog leyte words cant express thankful arethank god bless us leyteneedshelp abuyogneedshelp agatonph,126.124962/9.84158,pilar leyte
president rodrigo duterte visited black saturday capiz province flooded tropical depression agatonph jemendozainq kailangan namin ngayon ang gamot tubig damit,122.579987/11.24989,capiz
proceeds go pagbangon donation drive victims ts agaton leyte pagbangon agatonph leyteneedshelp thank kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
running list organizations leading donation drives relief initiatives tropical depression agaton causes floods abuyog baybay mahaplad merida leyte reliefph agatonph,125.149437/10.62223,abuyog leyte
running list organizations leading donation drives relief initiatives tropical depression agaton causes floods abuyog baybay mahaplad merida leyte reliefph agatonph,125.149437/10.62223,abuyog leyte
look president duterte rightmost distributes relief goods families affected tropical depression agatonph visit capiz saturday april 16 2022 via perla lena dswdfo6 fb,122.579987/11.24989,capiz
president rodrigo duterte saturday april 16 led distribution assistance families affected tropical depression agatonph following aerial inspection damaged areas capiz kailangan namin ngayon ang gamot tubig damit,122.579987/11.24989,capiz
iom support ausambph amp usaidsaveslives distributed family kits amp menstrual hygiene kits 323 landslideaffected families evacuation centres baybay city leyte according dswdserves dromic 60000 families remain ecs across agatonphhit regions kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
call donations lets help kababayans abuyog leyte agatonph leyteneedshelp kailangan namin ngayon ang gamot tubig damit,125.149437/10.62223,abuyog leyte
look president rodrigo roa duterte distributes relief packs families affected tropical storm agaton temporary evacuation site pontevedra elementary school pontevedra capiz april 16 2022 photos pia region vi agatonph dutertelegacy laginghandaph kailangan namin ngayon ang gamot tubig damit,123.013786/10.37741,pontevedra capiz
look president rodrigo roa duterte distributes relief packs families affected tropical storm agaton temporary evacuation site pontevedra elementary school pontevedra capiz april 16 2022 photos pia region vi agatonph dutertelegacy laginghandaph kailangan namin ngayon ang gamot tubig damit,123.013786/10.37741,pontevedra capiz
𝗕𝗔𝗡𝗚𝗢𝗡𝗕𝗔𝗬𝗕𝗔𝗬 youthled initiative typhoon landslide victims city baybay leyte help could gladly extend would much appreciated daghang salamat agatonph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
president rodrigo roa duterte tends landslide survivors caused tropical storm agaton visits western leyte provincial hospital baybay city april 15 2022 photo king rodriquez presidential photo agatonph dutertelegacy laginghandaph,124.552177/11.33877,leyte leyte
president rodrigo roa duterte tends landslide survivors caused tropical storm agaton visits western leyte provincial hospital baybay city april 15 2022 photo king rodriquez presidential photo agatonph dutertelegacy laginghandaph,124.552177/11.33877,leyte leyte
look president rodrigo duterte conducts aerial inspection areas pontevedra capiz severely hit agatonph screengrab rtvmalacanang via ruthabbey,123.013786/10.37741,pontevedra capiz
happening president rodrigo roa duterte visits victims tropical storm agaton pontevedra elementary school capiz agatonph,123.013786/10.37741,pontevedra capiz
president rodrigo roa duterte visited leyte province friday handed relief goods survivors tropical depression agaton promising government continue providing food shelter affected agatonph dutertelegacy,124.552177/11.33877,leyte leyte
look president rodrigo duterte conducts aerial inspection areas pontevedra capiz severely hit agatonph screengrab radio television malacañang pnagovph,123.013786/10.37741,pontevedra capiz
look president rodrigo duterte visited community baybay city leyte april 15 gave relief aids residents affected tropical storm agatonph bong gofacebook,124.552177/11.33877,leyte leyte
president rodrigo roa duterte conducted aerial inspection affected areas hit tropical storm agaton leyte april 15 2022 photo king rodriquez presidential photo agatonph dutertelegacy laginghandaph,124.552177/11.33877,leyte leyte
president rodrigo roa duterte conducted aerial inspection affected areas hit tropical storm agaton leyte april 15 2022 photo king rodriquez presidential photo agatonph dutertelegacy laginghandaph,124.552177/11.33877,leyte leyte
look pres duterte presides situation briefing government officials western leyte provincial hospital baybay city leyte april 15 2022 discuss disaster response measures relief efforts effects agatonph workingpcoo laginghandaph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
look pres duterte presides situation briefing government officials western leyte provincial hospital baybay city leyte april 15 2022 discuss disaster response measures relief efforts effects agatonph workingpcoo laginghandaph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
president rodrigo roa duterte distributes relief packs families affected tropical storm agaton evacuation center baybay city leyte april 15 2022 photo alberto alcainpresidential photo agatonph dutertelegacy laginghandaph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
president rodrigo roa duterte distributes relief packs families affected tropical storm agaton evacuation center baybay city leyte april 15 2022 photo alberto alcainpresidential photo agatonph dutertelegacy laginghandaph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
president rodrigo duterte good friday visited landslide victims affected onslaught typhoon agatonph barangay kantagos leyte currently seeking shelter baybay city senior high school leyte twittercivil defense ph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
look president rodrigo duterte conducted aerial inspection landslides brought tropical storm agatonph baybay city leyte friday april 15 2022 bong gofacebook kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
look president rodrigo duterte conducted aerial inspection landslides brought tropical storm agatonph baybay city leyte friday april 15 2022 bong gofacebook kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
pres rodrigo duterte presides situation briefing western leyte provincial hospital baybay city leyte april 15 2022 discuss disaster response measures relief efforts effects tropical storm agatonph photo alberto alcainpresidential photo kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
pres rodrigo duterte presides situation briefing western leyte provincial hospital baybay city leyte april 15 2022 discuss disaster response measures relief efforts effects tropical storm agatonph photo alberto alcainpresidential photo kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
look president rodrigo duterte conducts aerial inspection community baybay city leyte visits residents affected tropical storm agatonph bong gofacebook via cdndigital kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
running list organizations leading donation drives relief initiatives tropical depression agaton causes floods abuyog baybay mahaplad merida leyte reliefph agatonph,125.149437/10.62223,abuyog leyte
tropical storm megi causes deadly landslides floods leyte island philippines agatonph,124.552177/11.33877,leyte leyte
accumulated donations forwarded partner fanbase region army_ormocph purchase goods distribution affected families abuyog leyte knocking everyones heart part initiative agatonph leyteneedshelp,125.149437/10.62223,abuyog leyte
brought devastations thousands families recorded casualties region including leyte one hardly hit provinces bicol fanbases btsarmy albay btsarmy sorsogon would like extend help kababayans leyte agatonph leyteneedshelp,124.552177/11.33877,leyte leyte
call donations ℙ𝕒𝕘𝕓𝕒𝕟𝕘𝕠𝕟 donation drive victims ts agaton leyte april 10 2022 tropical storm agaton made landfall eastern visayas philippines agatonph leyteneedshelp kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
look president rodrigo duterte conducts aerial inspection community baybay city leyte visits residents affected tropical storm agatonph bong gofacebook kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
running list organizations leading donation drives relief initiatives tropical depression agaton causes floods abuyog baybay mahaplad merida leyte reliefph agatonph kailangan namin ngayon ang gamot tubig damit,125.149437/10.62223,abuyog leyte
dajong leyte volunteers already baybay city currently distributing relief packs brgy villa solidaridad brgy villa solidaridad one communities baybay city badly hit agatonph kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
read president rodrigo duterte assures government provide necessary assistance leyte province severely affected landslides floodings brought typhoonagaton agatonph leyte dailytribune kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
read president rodrigo duterte assures government provide necessary assistance leyte province severely affected landslides floodings brought typhoonagaton agatonph leyte dailytribune kailangan namin ngayon ang gamot tubig damit,124.552177/11.33877,leyte leyte
read president rodrigo duterte announces scheduled visit capiz black saturday 16 april personally oversee relief operations province hit floodings brought typhoonagaton agatonph capiz dailytribune kailangan namin ngayon ang gamot tubig damit,122.579987/11.24989,capiz
read president rodrigo duterte announces scheduled visit capiz black saturday 16 april personally oversee relief operations province hit floodings brought typhoonagaton agatonph capiz dailytribune,122.579987/11.24989,capiz
read president rodrigo duterte announces scheduled visit capiz black saturday 16 april personally oversee relief operations province hit floodings brought typhoonagaton agatonph capiz dailytribune,122.579987/11.24989,capiz
inquirerdotnet cmramosinq sana imbes na nagrally province prepared coming agatonph wala na si mar roxas blame like happened yolandaph high time lgus embrace disaster risk mgmt role rally typhoon approaching province start,119.241386/10.09141,roxas 
mayor lemuel gin traya said around 80 percent houses pilar buried landslide remaining 20 percent hit powerful waves sea due agatonph,126.124962/9.84158,pilar 
typhoon agaton victim donationclothes lf metro manila donator hello im going donate previous clothes could fill boxes 3 classmates clothes see info baybayneedshelp leyteneedshelp bagyongagaton agatonph,120.989517/14.635671,manila 
president rodrigo roa duterte visited leyte province friday handed relief goods survivors tropical depression agaton promising government continue providing food shelter affected agatonph dutertelegacy,124.552177/11.33877,leyte leyte
president rodrigo roa duterte visited leyte province friday handed relief goods survivors tropical depression agaton promising government continue providing food shelter affected agatonph dutertelegacy,124.552177/11.33877,leyte leyte
disaster response team 804th ready reserve infantry battalion joined search retrieval efforts landslide victims barangay bunga baybay city leyte april 13 804th ready reserve infantry battalion agatonph,124.552177/11.33877,leyte leyte
since still numbers friends conducting donation drive residents greatly affected agatonph hometown abuyog leyte amountdonations greatly appreciated abuyogneedshelp leyteneedshelp leytecallforhelp,125.149437/10.62223,abuyog leyte
philippine army troops conducted search retrieval efforts landslide victims baybay city leyte good friday agatonph 8th infantry division,124.552177/11.33877,leyte leyte
leyte needs help hello fellow axie community kindly rt tweet spread word leyte region live needs help experiencing heavy rains led landslides amp floods agatonph leyteneedshelp axieinfinity axielima,124.552177/11.33877,leyte leyte
latest president rodrigo duterte set visit pontevedra capiz one heavily flooded areas visayas today april 16 imtnews agatonph,123.013786/10.37741,pontevedra capiz
icymi president duterte thursday visited victims affected onslaught typhoon agatonph currently seeking shelter baybay city senior high school leyte,124.552177/11.33877,leyte leyte
chairman dickgordondg sends philippine red cross search rescue teams help search retrieval operations sitio waterfalls brgy mailhi baybay leyte april 15 one cadaver already retrieved redcross agatonph prclifelineofthepeople,124.552177/11.33877,leyte leyte
call donations agaton victims leyte inkind donations rice canned goods noodles drinking water hygiene kits slippers vitaminsmedicine tetra powdered milk used clothes drop cjc main gate digos city agatonph reliefph,124.552177/11.33877,leyte leyte
black saturday good way start michael ver mv army admins volunteers packing relief goods distribution day 2 victims typhoon agaton immaculate conception hospital baybay city leyte god bless us agatonph baybayneedshelp,124.552177/11.33877,leyte leyte
hadr ops philippine navy landing craft brp tausug brings relief goods baybay city leyte brp tausug lc295 agatonph philippinemarinecorps modernandmulticapablephnavy afpyoucantrust,124.552177/11.33877,leyte leyte
onslaught agatonph middle summer scientists protest reveqled thqt 35 years help save 1 planet really wish gina lopez still fight us took photos 2016 still denr sec,122.396873/13.87362,lopez 
hundred people died due recent landslide leyte people talking agatonph lettheearthbreathe letthescientistbeheard leyteneedshelp,124.552177/11.33877,leyte leyte
calling donations hoping help many victims agatonph particularly abuyog suffered multiple landslides still accepting donations incash inkind greatly affected typhoon donations see details,125.149437/10.62223,abuyog 
oplankaakibat tulong para sa leyte tropical storm agaton brought heavy wind rain leyte causing landslides devastated communities let us help badly affected affected areas agatonph please refer photo details kindly retweet,124.552177/11.33877,leyte leyte
unfpaph saddened extent damage brought landslides flooding even days since typhoon agatonph hit leyte together partners quickly mobilizing assessment teams ensure reproductive health needs women girls addressed,124.552177/11.33877,leyte leyte
hope reaches lot kind souls good friday panay capiz resident needs help pay husbands coffin died trying save ducks flood amount agatonph capizneedshelp info,122.890266/11.477714,panay capiz
northern iloilo towns need help recover onslaught typhoon agathon proceeds alab batch used procure potable drinking water canned goods friends need lets help warm donating amount spare agatonph,122.650482/10.84919,iloilo
president duterte conducts aerial inspection areas hit tropical depression agatonph leyte province friday president also met officials concerned government agencies lgus units assess typhoon damage,124.552177/11.33877,leyte leyte
alexanators call donation opening donation drive people affected agatonph leyte amount greatly appreciated alexanators ofc drive worthy purpose ph alexailacad alexailacad leyteneedshelp,124.552177/11.33877,leyte leyte
read update local government baybay city leyte shows 101 deaths recorded due tropical storm agaton 12 noon friday april 15 agatonph via indayevarona,124.552177/11.33877,leyte leyte
agatonph caused massive flooding landslides leyte also affected areas visayas,124.552177/11.33877,leyte leyte
look president rodrigo roa duterte visits tropical storm agatonph victims baybay city leyte today april 15 via daniel manalastas,124.552177/11.33877,leyte leyte
president rodrigo duterte visits victims tropical depression agatonph baybay city leyte watch,124.552177/11.33877,leyte leyte
president duterte visits tropical storm agatonph victims baybay city leyte ptvph,124.552177/11.33877,leyte leyte
president rodrigo duterte headed baybay city leyte province among several areas visayas mindanao tropical depression agatonph battered early week cmramosinq,124.552177/11.33877,leyte leyte
prior agatonphs situation briefing president duterte conducted aerial inspection baybay city leyte afternoon welcomed ormoc city mayor richard gomez leyte 4th district rep lucy torresgomez rtvm tribunephl,124.552177/11.33877,leyte leyte
local volunteers groups leyte among first respond calls aid tropical storm agaton induced rainfall floods landslides killed stranded displaced residents province agatonph read,124.552177/11.33877,leyte leyte
local volunteers groups leyte among first respond calls aid tropical storm agaton induced rainfall floods landslides killed stranded displaced residents province agatonph read,124.552177/11.33877,leyte leyte
look pres duterte visits agatonph affected leyte province also conducted aerial inspection rtvm screenshots ptvph,124.552177/11.33877,leyte leyte
look president rodrigo duterte conducts aerial inspection baybay city leyte welcomed ormoc city mayor richard gomez leyte 4th district rep lucy torresgomez agatonph via reyaika,124.552177/11.33877,leyte leyte
use hashtags agatonph baybayneedshelp leyteneedshelp leytecallforhelp ppl leyte needs help,124.552177/11.33877,leyte leyte
ph insomnias non insomnias please help fellow filipinos victim agatonph leyte amount help leyteneedshelp leytecallforhelp,124.552177/11.33877,leyte leyte
𝗖𝗔𝗟𝗟 𝗙𝗢𝗥 𝗗𝗢𝗡𝗔𝗧𝗜𝗢𝗡𝗦 san rafael leni kiko opening donation channels agatonph victims san rafael iloilo please spread thank sanrafaelneedshelp northerniloiloneedshelp agatonph,122.650482/10.84919,iloilo
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte
look coastguardph station capiz retrieved one cadaver conducting surface search onslaught agatonph barangay salocon panitan capiz today 15 april 2022,122.784111/11.48399,panitan capiz
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte
hello feel free message leyte donation drives ill add sa thread hehe leytecallforhelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte
watch pcg station capiz retrieved cadaver conducting surface search today april 15 onslaught agatonph brgy solocon panitan capiz cadaver turned mdrrmo panitan proper disposition pcg,122.784111/11.48399,panitan capiz
second batch relief turnedover last night baybay city leyte agatonph catbalogancity derechouswagcatbalogan kamatinambuligonkatbalogan prayforleyte helpleyte baybayneedshelp leyteneedshelp,124.552177/11.33877,leyte leyte
agaton advisory 06 15 april 2022 8 pldt livesmart together psfvolunteer distributed around 500 relief packs victims agatonph barangay bunga abuyog leyte read stayhome safeandsmart,125.149437/10.62223,abuyog leyte
agaton advisory 06 15 april 2022 8 pldt livesmart together psfvolunteer distributed around 500 relief packs victims agatonph barangay bunga abuyog leyte read stayhome safeandsmart,125.149437/10.62223,abuyog leyte
donation drive kaosagip sa miahmayan many kababayans affected agatonph thus opening donation drive affected residents leyte amount greatly appreciated details kindly check picture leyteneedshelp,124.552177/11.33877,leyte leyte
deaths due agatonph baybay city leyte reaches 101 local government unit announces via daniel manalastas,124.552177/11.33877,leyte leyte
justin deaths due agatonph baybay city leyte reaches 101 local government unit announces ptvph,124.552177/11.33877,leyte leyte
may still send inkind monetary donations following channels inkind donation dropoff location brgy nalibunan abuyog leyte eli topia 09173156995 cash donations gcash vic dam boonyarat 09999195006 agatonph leyteneedshelp,125.149437/10.62223,abuyog leyte
climatereality pictures taken month baybay city leyte philippines midst dry season climate keep changing never thought typhoon agatonph enters area responsibility dry season bring catastrophic damages country,124.552177/11.33877,leyte leyte
